store;websites;attribute_set;type;categories;sku;name;meta_title;meta_description;image;image_label;small_image;thumbnail;url_key;url_path;ean;shipping_delay;price;special_price;special_from_date;special_to_date;cost;weight;eco_participation;status;visibility;tax_class_id;color;brand;supplier_name;size;essorage;capacite;decibels;classe_energetique;description;short_description;meta_keyword;news_from_date;news_to_date;qty;is_in_stock;stock_status_changed_automatically;product_name;small_image_label;thumbnail_label;dispo;nb_couverts
admin;base;Findis;simple;"Petit electromenager::1::1::1/Le petit déjeuner::1::1::1/Machine à café::1::1::1/Filtre::1::1::1";FND-M162771EE;"Machine à café Filtre MORPHY RICHARDS - M162771EE";"Machine à café Filtre MORPHY RICHARDS - M162771EE | Lacoop.fr";"Achetez Machine à café Filtre MORPHY RICHARDS - M162771EE à petit prix sur LaCoop.fr. Paiement 3x à partir de 300€.";http://www.findis.fr/data/photos/600/5011832062321_1_600.jpg;"Machine à café Filtre MORPHY RICHARDS - M162771EE - Lacoop.fr";http://www.findis.fr/data/photos/300/5011832062321_1_300.jpg;http://www.findis.fr/data/photos/150/5011832062321_1_150.jpg;machine-à-café-filtre-morphy-richards-m162771ee;machine-à-café-filtre-morphy-richards-m162771ee.html;5011832062321;;41.88;;;;29.12;1.01;0.25;Activé;"Catalogue, Recherche";"Taxe Produits";;"MORPHY RICHARDS";FINDIS;;;"1 L";;;"<h2>Détails produit</h2><h3>Description</h3><p>Cafetière Accents Thermos Programmable 8 tasses - Corps plastique - Sa carafe thermos avec poignée en plastique vous garantit un café chaud longtemps - Infusion rapide pour gagner du temps - Arrêt automatique pour éviter de brûler le café - Filtre permanent réutilisable - Système anti-gouttes - Indicateur du niveau d'eau - Voyant de mise en marche éclairé - Coloris inox - Puissance 800 W - Garantie 2 ans.</p><h3>Caractéristiques</h3><p><br>Description guide : Accents Thermos Programmable - Système anti-gouttes - Porte-filtre inox pivotant et amovible - Niveau d'eau visible - Interrupteur M/A lumineux<br>Puissance : 800 Watts<br>Capacité : 1 L<br>Capacité cafetière : 8 Tasses<br>Type de café : Moulu<br>Auto stop : Oui<br>Système anti-goutte : Oui<br>Verseuse : Isotherme<br>Le + produit : Verseuse isotherme<br>Dimensions (LxHxP) : cm</p>";"<p><strong>Machine à café Filtre MORPHY RICHARDS - M162771EE</strong></p><p>Verseuse isotherme</p><br>Capacité : 1 L<br>Voir les détails produit ci-dessous</p>";;;;0;0;1;"Machine à café Filtre MORPHY RICHARDS - M162771EE";"Machine à café Filtre MORPHY RICHARDS - M162771EE - Lacoop.fr";"Machine à café Filtre MORPHY RICHARDS - M162771EE - Lacoop.fr";;0
admin;base;Findis;simple;"Electromenager::1::1::1/Encastrable::1::1::1/La cuisson::1::1::1/Four encastrable::1::1::1";FND-H2561BPBB;"Four encastrable null MIELE - H2561BPBB";"Four encastrable null MIELE - H2561BPBB | Lacoop.fr";"Achetez Four encastrable null MIELE - H2561BPBB à petit prix sur LaCoop.fr. Paiement 3x à partir de 300€.";http://www.findis.fr/data/photos/600/4002515603345_1_600.jpg;"Four encastrable null MIELE - H2561BPBB - Lacoop.fr";http://www.findis.fr/data/photos/300/4002515603345_1_300.jpg;http://www.findis.fr/data/photos/150/4002515603345_1_150.jpg;four-encastrable-null-miele-h2561bpbb;four-encastrable-null-miele-h2561bpbb.html;4002515603345;;846.66;;;;585.90;31.33;8.33;Activé;"Catalogue, Recherche";"Taxe Produits";;MIELE;FINDIS;;;;;;"<h2>Détails produit</h2><h3>Description</h3><p>FOUR PYROLYSE 76 l, 5 niveaux de cuisson - Boutons escamotables - Design ContourLine - 7 modes de cuisson -  Pyrolyse 3 niveaux, Catalyseur de fumées - Plat PerfectClean</p><h3>Caractéristiques</h3><p></p>";"<p><strong>Four encastrable null MIELE - H2561BPBB</strong></p><p>Technologie Virtual Flame</p><br>Voir les détails produit ci-dessous</p>";;;;1;1;1;"Four encastrable null MIELE - H2561BPBB";"Four encastrable null MIELE - H2561BPBB - Lacoop.fr";"Four encastrable null MIELE - H2561BPBB - Lacoop.fr";;0
admin;base;Findis;simple;"Entretien de la maison::1::1::1/Chauffage  - climatisation::1::1::1/Traitement de l'air::1::1::1/Climatiseur::1::1::1/Accessoires::1::1::1";FND-CAK002;"Climatiseur accessoires WPRO - CAK002";"Climatiseur accessoires WPRO - CAK002 | Lacoop.fr";"Achetez Climatiseur accessoires WPRO - CAK002 à petit prix sur LaCoop.fr. Paiement 3x à partir de 300€.";http://www.findis.fr/data/photos/600/8015250579161_1_600.jpg;"Climatiseur accessoires WPRO - CAK002 - Lacoop.fr";http://www.findis.fr/data/photos/300/8015250579161_1_300.jpg;http://www.findis.fr/data/photos/150/8015250579161_1_150.jpg;climatiseur-accessoires-wpro-cak002;climatiseur-accessoires-wpro-cak002.html;8015250579161;;29.57;;;;20.71;27.21;0.00;Activé;"Catalogue, Recherche";"Taxe Produits";;WPRO;FINDIS;;;;;;"<h2>Détails produit</h2><h3>Description</h3><p>Kit d'évacuation universel 3 en 1 pour climatiseur mobile. Produit adaptable aux fenêtres, portes et baies-vitrées. Notice d'installation fournie </p><h3>Caractéristiques</h3><p><br>Eligible TVA 10 : Non<br>Eligible TVA 5,5 : Non<br>Refroidissement : BTU/h<br>Puissance de refroidissement : 0 W<br>Puissance de chauffage : 0 W<br>Capacité de refroidissement : 0 m2<br>Capacité de déshumidification : 0 L/24H<br>Niveau de rendement énergétique : 0<br>Débit d'air : 0 m3/h<br>Réservoir : 0 L<br>Niveau sonore : 0 dB<br>Conso élec : 0 kWh/an<br>Dimensions (LxHxP) : cm</p>";"<p><strong>Climatiseur accessoires WPRO - CAK002</strong></p><p>Profondeur 49 cm</p><br>Voir les détails produit ci-dessous</p>";;;;3;1;1;"Climatiseur accessoires WPRO - CAK002";"Climatiseur accessoires WPRO - CAK002 - Lacoop.fr";"Climatiseur accessoires WPRO - CAK002 - Lacoop.fr";;0
admin;base;Findis;simple;"Image::1::1::1/Connectique tv  - video::1::1::1/Connectique vidéo::1::1::1";FND-TVD;"Connectique Vidéo null LINEAIRE - TVD";"Connectique Vidéo null LINEAIRE - TVD | Lacoop.fr";"Achetez Connectique Vidéo null LINEAIRE - TVD à petit prix sur LaCoop.fr. Paiement 3x à partir de 300€.";http://www.findis.fr/data/photos/600/3304810004089_1_600.jpg;"Connectique Vidéo null LINEAIRE - TVD - Lacoop.fr";http://www.findis.fr/data/photos/300/3304810004089_1_300.jpg;http://www.findis.fr/data/photos/150/3304810004089_1_150.jpg;connectique-vidéo-null-lineaire-tvd;connectique-vidéo-null-lineaire-tvd.html;3304810004089;;1.49;;;;1.04;0.00;0.00;Activé;"Catalogue, Recherche";"Taxe Produits";;LINEAIRE;FINDIS;;;;;;"<h2>Détails produit</h2><h3>Description</h3><p>Cordon  2m  mâle/femelle 9.5mm + adaptateur M/M (cable type C3C2V)

Utilisation :
Permet de relier entre eux, pour une liaison Antenne, 2 appareils Audio / Vidéo équipé d'embases coaxiales 9,5mm, (téléviseur, magnétoscope, Embase murale, etc...).
L'adaptateur permet de transformer la liaison mâle / femelle en liaison mâle / mâle.

Composition :
1 x Fiche d'antenne coaxiale droite, mâle, 9,5mm.
1 x Fiche d'antenne coaxiale coudée, femelle, 9,5mm.
1 x Adaptateur mâle / mâle, 9,5mm.
Câble coaxial, blindé.
</p><h3>Caractéristiques</h3><p><br>Type de cordon : Antenne<br>Longueur cordon : 2 m</p>";"<p><strong>Connectique Vidéo null LINEAIRE - TVD</strong></p><p>Option exclusive Clean+</p><br>Voir les détails produit ci-dessous</p>";;;;0;0;1;"Connectique Vidéo null LINEAIRE - TVD";"Connectique Vidéo null LINEAIRE - TVD - Lacoop.fr";"Connectique Vidéo null LINEAIRE - TVD - Lacoop.fr";;0
admin;base;Findis;simple;"Electromenager::1::1::1/Encastrable::1::1::1/Les eviers::1::1::1/Evier::1::1::1/1,5 cuve::1::1::1";FND-006440;"Evier 1,5 cuve FRANKE - 006440";"Evier 1,5 cuve FRANKE - 006440 | Lacoop.fr";"Achetez Evier 1,5 cuve FRANKE - 006440 à petit prix sur LaCoop.fr. Paiement 3x à partir de 300€.";http://www.findis.fr/data/photos/600/7612981006440_1_600.jpg;"Evier 1,5 cuve FRANKE - 006440 - Lacoop.fr";http://www.findis.fr/data/photos/300/7612981006440_1_300.jpg;http://www.findis.fr/data/photos/150/7612981006440_1_150.jpg;evier-1-5-cuve-franke-006440;evier-1-5-cuve-franke-006440.html;7612981006440;;187.64;;;;131.40;5.74;0.00;Activé;"Catalogue, Recherche";"Taxe Produits";;FRANKE;FINDIS;;;;;;"<h2>Détails produit</h2><h3>Description</h3><p>Evier SPARK SKL 651 - Finition Inox-DEKOR - 1,5 cuve + 1 égouttoir réversible - Prépercé Ø 35 mm pour robinetterie et commande rotative - Vidage Gain de place comprenant bonde Ø 90 mm et siphon - Bonde automatique dans la grande cuve avec bouton rotatif inox - A encastrer - Profil plat de 4 mm et joint d'étanchéité monté en usine - Pour sous-meuble de 60 cm - Garantie à vie sur inox (corrosion et tenue des soudures).</p><h3>Caractéristiques</h3><p><br>Cuve : 1,5<br>Matière : inox<br>Dimensions : L 100 x P 50 cm</p>";"<p><strong>Evier 1,5 cuve FRANKE - 006440</strong></p><p>Design Panneau Art Gallery</p><br>Voir les détails produit ci-dessous</p>";;;;2;1;1;"Evier 1,5 cuve FRANKE - 006440";"Evier 1,5 cuve FRANKE - 006440 - Lacoop.fr";"Evier 1,5 cuve FRANKE - 006440 - Lacoop.fr";;0
admin;base;Findis;simple;"Image::1::1::1/Tv::1::1::1/Casque et accessoire tv::1::1::1/Télécommande::1::1::1/Universelle::1::1::1";FND-SIMPLY1731;"Télécommande Universelle MBG FRANCE - SIMPLY1731";"Télécommande Universelle MBG FRANCE - SIMPLY1731 | Lacoop.fr";"Achetez Télécommande Universelle MBG FRANCE - SIMPLY1731 à petit prix sur LaCoop.fr. Paiement 3x à partir de 300€.";http://www.findis.fr/data/photos/600/8028626017013_1_600.jpg;"Télécommande Universelle MBG FRANCE - SIMPLY1731 - Lacoop.fr";http://www.findis.fr/data/photos/300/8028626017013_1_300.jpg;http://www.findis.fr/data/photos/150/8028626017013_1_150.jpg;télécommande-universelle-mbg-france-simply1731;télécommande-universelle-mbg-france-simply1731.html;8028626017013;;9.00;;;;6.30;0.00;0.00;Activé;"Catalogue, Recherche";"Taxe Produits";;"MBG FRANCE";FINDIS;;;;;;"<h2>Détails produit</h2><h3>Description</h3><p>SIMPLY 1731 :Télécommande TV simplifiée à codes .Reproduit uniquement les fonctions principales :AV, Vol +/-, Télétexte, Programmes +/- .Fonctionne avec toutes les marques . Type de programmation soit par: Insertion directe du code ou Recherche manuelle ou automatique . Acquisition du code d'origine . Garantie 2 ans .</p><h3>Caractéristiques</h3><p><br>Fonctions TV : Oui<br>Fonctions Magnétoscope : Non<br>Fonctions DVD : Non<br>Distance infrarouge : 0</p>";"<p><strong>Télécommande Universelle MBG FRANCE - SIMPLY1731</strong></p><p>\&amp;quot;R�compens� \&amp;quot;\&amp;quot;Design Plus 2017\&amp;quot;\&amp;quot;\&amp;quot;</p><br>Voir les détails produit ci-dessous</p>";;;;0;0;1;"Télécommande Universelle MBG FRANCE - SIMPLY1731";"Télécommande Universelle MBG FRANCE - SIMPLY1731 - Lacoop.fr";"Télécommande Universelle MBG FRANCE - SIMPLY1731 - Lacoop.fr";;0
admin;base;Findis;simple;"Son  - telephonie::1::1::1/Chaine hifi::1::1::1/Mini -chaîne  - hi -power::1::1::1/Sans cd::1::1::1";FND-XWSX50B;"Mini-chaîne / Hi-power Sans CD PIONEER - XWSX50B";"Mini-chaîne / Hi-power Sans CD PIONEER - XWSX50B | Lacoop.fr";"Achetez Mini-chaîne / Hi-power Sans CD PIONEER - XWSX50B à petit prix sur LaCoop.fr. Paiement 3x à partir de 300€.";http://www.findis.fr/data/photos/600/4573211154139_1_600.jpg;"Mini-chaîne / Hi-power Sans CD PIONEER - XWSX50B - Lacoop.fr";http://www.findis.fr/data/photos/300/4573211154139_1_300.jpg;http://www.findis.fr/data/photos/150/4573211154139_1_150.jpg;mini-chaîne-hi-power-sans-cd-pioneer-xwsx50b;mini-chaîne-hi-power-sans-cd-pioneer-xwsx50b.html;4573211154139;;337.44;;;;234.90;2.05;1.67;Activé;"Catalogue, Recherche";"Taxe Produits";;PIONEER;FINDIS;;;;;;"<h2>Détails produit</h2><h3>Description</h3><p>Mini-chaîne 120W - Amplificateur - Lecteur numérique - Récepteur audio Bluetooth - USB - 2 canaux de sortie - Correction des graves et réglage des aigus - Commande à distance depuis un smartphone, microphone intégré, effets de lumière LED, Party Chain - 2 haut-parleurs 2 voies intégrés - Application Pioneer Club Sound: enregistrez vos playlists dans des presets Rave/Chil, ainsi que pour piloter le mode LED.</p><h3>Caractéristiques</h3><p><br>Puissance maxi par canal : 60 W (RMS)<br>Puissance : 120 W (RMS)<br>Lecture MP3 : Oui<br>Port USB : Oui<br>Encodage MP3 : Non<br>Bluetooth intégré : Oui<br>Compatible NFC : Non<br>Compatible aptX® : Non<br>Compatible DLNA : Non<br>Audio Haute Résolution : Non<br>Le + produit : Effets lumineux LED<br>Connectique : Aux in / RCA  (in &amp; out) / USB<br>Dimensions (LxHxP) : 26,2 x 59,2 x 28,1 cm</p>";"<p><strong>Mini-chaîne / Hi-power Sans CD PIONEER - XWSX50B</strong></p><p>Effets lumineux LED</p><br>Voir les détails produit ci-dessous</p>";;;;99;1;1;"Mini-chaîne / Hi-power Sans CD PIONEER - XWSX50B";"Mini-chaîne / Hi-power Sans CD PIONEER - XWSX50B - Lacoop.fr";"Mini-chaîne / Hi-power Sans CD PIONEER - XWSX50B - Lacoop.fr";commande;0
admin;base;Findis;simple;"Entretien de la maison::1::1::1/Courant faible::1::1::1/Vidéosurveillance::1::1::1/Stockeurs::1::1::1/Hdcvi::1::1::1";FND-XVR5108HS;"Stockeurs HDCVI DAHUA - XVR5108HS";"Stockeurs HDCVI DAHUA - XVR5108HS | Lacoop.fr";"Achetez Stockeurs HDCVI DAHUA - XVR5108HS à petit prix sur LaCoop.fr. Paiement 3x à partir de 300€.";http://www.findis.fr/data/photos/600/0814927019966_1_600.jpg;"Stockeurs HDCVI DAHUA - XVR5108HS - Lacoop.fr";http://www.findis.fr/data/photos/300/0814927019966_1_300.jpg;http://www.findis.fr/data/photos/150/0814927019966_1_150.jpg;stockeurs-hdcvi-dahua-xvr5108hs;stockeurs-hdcvi-dahua-xvr5108hs.html;0814927019966;;197.36;;;;138.21;1.09;0.00;Activé;"Catalogue, Recherche";"Taxe Produits";;DAHUA;FINDIS;;;;;;"<h2>Détails produit</h2><h3>Description</h3><p>Enregistreur HDCVI PENTABRID dahua XVR5108HS. Supporte du 1080p mais jusqu'à 15 fps. Supporte 8 caméras en 720p (analogiques, hdcvi, ahd, hdtvi) et des caméras ip jusqu'à 2 mégapixels. Processeur optimisé. H.264 vidéo compression. Supporte HDCVI/ AHD/TVI/CVBS/IP en entrée vidéo. Max 5 caméras IP camera. Transmission sur longue distance par cable coax. Supporte 1 SATA HDD, jusqu'à 6TB.</p><h3>Caractéristiques</h3><p></p>";"<p><strong>Stockeurs HDCVI DAHUA - XVR5108HS</strong></p><p>Sp�cialement �tudi� pour cloison en plaque de pl�tre</p><br>Voir les détails produit ci-dessous</p>";;;;0;0;1;"Stockeurs HDCVI DAHUA - XVR5108HS";"Stockeurs HDCVI DAHUA - XVR5108HS - Lacoop.fr";"Stockeurs HDCVI DAHUA - XVR5108HS - Lacoop.fr";;0
admin;base;Findis;simple;"Petit electromenager::1::1::1/Beauté - hygiène - bien -être::1::1::1/Soin du cheveu::1::1::1/Brosse soufflante::1::1::1";FND-BHH811.00;"Soin du cheveu Brosse soufflante PHILIPS - BHH811.00";"Soin du cheveu Brosse soufflante PHILIPS - BHH811.00 | Lacoop.fr";"Achetez Soin du cheveu Brosse soufflante PHILIPS - BHH811.00 à petit prix sur LaCoop.fr. Paiement 3x à partir de 300€.";http://www.findis.fr/data/photos/600/8710103814436_1_600.jpg;"Soin du cheveu Brosse soufflante PHILIPS - BHH811.00 - Lacoop.fr";http://www.findis.fr/data/photos/300/8710103814436_1_300.jpg;http://www.findis.fr/data/photos/150/8710103814436_1_150.jpg;soin-du-cheveu-brosse-soufflante-philips-bhh811-00;soin-du-cheveu-brosse-soufflante-philips-bhh811-00.html;8710103814436;;34.47;;;;24.07;0.44;0.08;Activé;"Catalogue, Recherche";"Taxe Produits";;PHILIPS;FINDIS;;;;;;"<h2>Détails produit</h2><h3>Description</h3><p>Brosse multi-styles 10 en 1 - Un style différent tous les jours ! Avec la nouvelle brosse multi-styles Philips et son guide de coiffure, créez plus de 10 styles différents, d'une coiffure chic, lisse ou bouclée, à un chignon et plus encore - Lisseur de 80 mm pour des cheveux soyeux (revêtement en céramique pour protéger vos cheveux) - Fer boucleur de 25 mm pour des boucles larges ou serrées - 3 accessoires (2 élastiques pratiques et un hair loop pour varier les styles) - Température élevée pour des résultats professionnels parfaits - Pointe froide pour une manipulation facilitée et sécurisée - Technologie OneClick pour changer rapidement et facilement d'accessoire - Cordon rotatif 1,8 m - Coloris noir - Garantie 2 ans.</p><h3>Caractéristiques</h3><p><br>Description guide : Brosse multi-styles 10 en 1 - Fer boucleur 25 mm - Fer lisseur 80 mm - Technologie OneClick - Pointe froide - Cordon rotatif - Anneau de suspension.<br>Température maxi : 210 °C<br>Temps de chauffe : 1 min<br>Dimensions des plaques : 30 x 80 mm<br>Anneau de suspension : Oui<br>Accessoires : boucleur/lisseur/2 élastiques/Hair loop<br>Le + produit : Guide de coiffures inclus</p>";"<p><strong>Soin du cheveu Brosse soufflante PHILIPS - BHH811.00</strong></p><p>Guide de coiffures inclus</p><br>Voir les détails produit ci-dessous</p>";;;;13;1;1;"Soin du cheveu Brosse soufflante PHILIPS - BHH811.00";"Soin du cheveu Brosse soufflante PHILIPS - BHH811.00 - Lacoop.fr";"Soin du cheveu Brosse soufflante PHILIPS - BHH811.00 - Lacoop.fr";;0
admin;base;Findis;simple;"Petit electromenager::1::1::1/Cuisson et culinaire::1::1::1/Friteuse::1::1::1/Capacité de 1,3 kg et +::1::1::1";FND-AH950000;"Friteuse Capacité de 1,3 Kg et + SEB - AH950000";"Friteuse Capacité de 1,3 Kg et + SEB - AH950000 | Lacoop.fr";"Achetez Friteuse Capacité de 1,3 Kg et + SEB - AH950000 à petit prix sur LaCoop.fr. Paiement 3x à partir de 300€.";http://www.findis.fr/data/photos/600/3045386365005_1_600.jpg;"Friteuse Capacité de 1,3 Kg et + SEB - AH950000 - Lacoop.fr";http://www.findis.fr/data/photos/300/3045386365005_1_300.jpg;http://www.findis.fr/data/photos/150/3045386365005_1_150.jpg;friteuse-capacité-de-1-3-kg-et-+-seb-ah950000;friteuse-capacité-de-1-3-kg-et-+-seb-ah950000.html;3045386365005;;194.29;;;;135.85;2.21;0.25;Activé;"Catalogue, Recherche";"Taxe Produits";;SEB;FINDIS;;;;;;"<h2>Détails produit</h2><h3>Description</h3><p>Friteuse Actifry Express XL - 30 % plus rapide pour des frites prêtes en moins de 30 minutes et sans surveillance - 1,5 kg de frites fraîches à 3 % de matières grasses - Multi-recettes : poissons, viandes, légumes, fruits - Une cuisine légère et variée pour un régime alimentaire équilibré : émincé de volaille, poêlée de légumes, soupe de fruits, ... - Technologie Actifry : système d'air pulsé breveté permettant  une circulation d'air chaud optimisée et un remuage automatique - Pratique le minuteur avec arrêt automatique en fin de cuisson - Grand écran digital LCD - Ouverture articulée - Cuve en aluminium avec revêtement céramique haute résistance - Cuve, pale et couvercle transparent compatibles lave-vaisselle - Cuillère doseuse 2 cl d'huile - Base parois froides - Cordon amovible - Leaflet avec recettes - Coloris Blanc / Gris - Puissance 1400 W - Fabriqué en France - Garantie 2 ans.</p><h3>Caractéristiques</h3><p><br>Description guide : Actifry Express XL - Minuteur - Arrêt automatique - Odeurs limitées - Ecran LCD - Timer - Parois froides - Cordon amovible<br>Puissance : 1550 Watts<br>Capacité frites : 1.5 Kg<br>Système de filtration des odeurs : filtre métallique permanent<br>Minuteur : Timer avec arrêt automatique<br>Hublot de contrôle : Oui<br>Cuve amovible : Oui<br>Parois froides : Oui<br>Capacité huile : 1 cuillère à huile (2 cl)<br>Lieu de fabrication : France<br>Le + produit : 30% plus rapide<br>Dimensions (LxHxP) : 50 x 26 x 35 cm<br>Poids net : 4.8 Kg</p>";"<p><strong>Friteuse Capacité de 1,3 Kg et + SEB - AH950000</strong></p><p>30% plus rapide</p><br>Voir les détails produit ci-dessous</p>";;;;0;0;1;"Friteuse Capacité de 1,3 Kg et + SEB - AH950000";"Friteuse Capacité de 1,3 Kg et + SEB - AH950000 - Lacoop.fr";"Friteuse Capacité de 1,3 Kg et + SEB - AH950000 - Lacoop.fr";;0
