store;websites;attribute_set;type;categories;sku;name;meta_title;meta_description;image;image_label;small_image;thumbnail;url_key;url_path;ean;shipping_delay;price;special_price;special_from_date;special_to_date;cost;weight;eco_participation;status;visibility;tax_class_id;color;brand;supplier_name;size;essorage;capacite;decibels;classe_energetique;description;short_description;meta_keyword;news_from_date;news_to_date;qty;is_in_stock;stock_status_changed_automatically;product_name;small_image_label;thumbnail_label;dispo;nb_couverts
admin;base;Findis;simple;"Petit electromenager::1::1::1/Le petit déjeuner::1::1::1/Machine à café::1::1::1/Filtre::1::1::1";FND-M162771EE;"Machine à café Filtre MORPHY RICHARDS - M162771EE";"Machine à café Filtre MORPHY RICHARDS - M162771EE | Lacoop.fr";"Achetez Machine à café Filtre MORPHY RICHARDS - M162771EE à petit prix sur LaCoop.fr. Paiement 3x à partir de 300€.";http://www.findis.fr/data/photos/600/5011832062321_1_600.jpg;"Machine à café Filtre MORPHY RICHARDS - M162771EE - Lacoop.fr";http://www.findis.fr/data/photos/300/5011832062321_1_300.jpg;http://www.findis.fr/data/photos/150/5011832062321_1_150.jpg;machine-à-café-filtre-morphy-richards-m162771ee;machine-à-café-filtre-morphy-richards-m162771ee.html;5011832062321;;41.88;;;;29.12;1.01;0.25;Activé;"Catalogue, Recherche";"Taxe Produits";;"MORPHY RICHARDS";FINDIS;;;"1 L";;;"<h2>Détails produit</h2><p><br>Description guide : Accents Thermos Programmable - Système anti-gouttes - Porte-filtre inox pivotant et amovible - Niveau d'eau visible - Interrupteur M/A lumineux<br>Puissance : 800 Watts<br>Capacité : 1 L<br>Capacité cafetière : 8 Tasses<br>Type de café : Moulu<br>Auto stop : Oui<br>Système anti-goutte : Oui<br>Verseuse : Isotherme<br>Le + produit : Verseuse isotherme<br>Dimensions (LxHxP) : cm</p>";"<p><strong>Machine à café Filtre MORPHY RICHARDS - M162771EE</strong></p><p><br>Capacité : 1 L<br>Voir les détails produit ci-dessous</p>";;;;0;0;1;"Machine à café Filtre MORPHY RICHARDS - M162771EE";"Machine à café Filtre MORPHY RICHARDS - M162771EE - Lacoop.fr";"Machine à café Filtre MORPHY RICHARDS - M162771EE - Lacoop.fr";;0
admin;base;Findis;simple;"Electromenager::1::1::1/Encastrable::1::1::1/La cuisson::1::1::1/Four encastrable::1::1::1";FND-H2561BPBB;"Four encastrable null MIELE - H2561BPBB";"Four encastrable null MIELE - H2561BPBB | Lacoop.fr";"Achetez Four encastrable null MIELE - H2561BPBB à petit prix sur LaCoop.fr. Paiement 3x à partir de 300€.";http://www.findis.fr/data/photos/600/4002515603345_1_600.jpg;"Four encastrable null MIELE - H2561BPBB - Lacoop.fr";http://www.findis.fr/data/photos/300/4002515603345_1_300.jpg;http://www.findis.fr/data/photos/150/4002515603345_1_150.jpg;four-encastrable-null-miele-h2561bpbb;four-encastrable-null-miele-h2561bpbb.html;4002515603345;;846.66;;;;585.90;31.33;8.33;Activé;"Catalogue, Recherche";"Taxe Produits";;MIELE;FINDIS;;;;;;;"<p><strong>Four encastrable null MIELE - H2561BPBB</strong></p><p><br>Voir les détails produit ci-dessous</p>";;;;1;1;1;"Four encastrable null MIELE - H2561BPBB";"Four encastrable null MIELE - H2561BPBB - Lacoop.fr";"Four encastrable null MIELE - H2561BPBB - Lacoop.fr";;0
admin;base;Findis;simple;"Entretien de la maison::1::1::1/Chauffage  - climatisation::1::1::1/Traitement de l'air::1::1::1/Climatiseur::1::1::1/Accessoires::1::1::1";FND-CAK002;"Climatiseur accessoires WPRO - CAK002";"Climatiseur accessoires WPRO - CAK002 | Lacoop.fr";"Achetez Climatiseur accessoires WPRO - CAK002 à petit prix sur LaCoop.fr. Paiement 3x à partir de 300€.";http://www.findis.fr/data/photos/600/8015250579161_1_600.jpg;"Climatiseur accessoires WPRO - CAK002 - Lacoop.fr";http://www.findis.fr/data/photos/300/8015250579161_1_300.jpg;http://www.findis.fr/data/photos/150/8015250579161_1_150.jpg;climatiseur-accessoires-wpro-cak002;climatiseur-accessoires-wpro-cak002.html;8015250579161;;29.57;;;;20.71;27.21;0.00;Activé;"Catalogue, Recherche";"Taxe Produits";;WPRO;FINDIS;;;;;;"<h2>Détails produit</h2><p><br>Eligible TVA 10 : Non<br>Eligible TVA 5,5 : Non<br>Refroidissement : BTU/h<br>Puissance de refroidissement : 0 W<br>Puissance de chauffage : 0 W<br>Capacité de refroidissement : 0 m2<br>Capacité de déshumidification : 0 L/24H<br>Niveau de rendement énergétique : 0<br>Débit d'air : 0 m3/h<br>Réservoir : 0 L<br>Niveau sonore : 0 dB<br>Conso élec : 0 kWh/an<br>Dimensions (LxHxP) : cm</p>";"<p><strong>Climatiseur accessoires WPRO - CAK002</strong></p><p><br>Voir les détails produit ci-dessous</p>";;;;3;1;1;"Climatiseur accessoires WPRO - CAK002";"Climatiseur accessoires WPRO - CAK002 - Lacoop.fr";"Climatiseur accessoires WPRO - CAK002 - Lacoop.fr";;0
admin;base;Findis;simple;"Image::1::1::1/Connectique tv  - video::1::1::1/Connectique vidéo::1::1::1";FND-TVD;"Connectique Vidéo null LINEAIRE - TVD";"Connectique Vidéo null LINEAIRE - TVD | Lacoop.fr";"Achetez Connectique Vidéo null LINEAIRE - TVD à petit prix sur LaCoop.fr. Paiement 3x à partir de 300€.";http://www.findis.fr/data/photos/600/3304810004089_1_600.jpg;"Connectique Vidéo null LINEAIRE - TVD - Lacoop.fr";http://www.findis.fr/data/photos/300/3304810004089_1_300.jpg;http://www.findis.fr/data/photos/150/3304810004089_1_150.jpg;connectique-vidéo-null-lineaire-tvd;connectique-vidéo-null-lineaire-tvd.html;3304810004089;;1.49;;;;1.04;0.00;0.00;Activé;"Catalogue, Recherche";"Taxe Produits";;LINEAIRE;FINDIS;;;;;;"<h2>Détails produit</h2><p><br>Type de cordon : Antenne<br>Longueur cordon : 2 m</p>";"<p><strong>Connectique Vidéo null LINEAIRE - TVD</strong></p><p><br>Voir les détails produit ci-dessous</p>";;;;0;0;1;"Connectique Vidéo null LINEAIRE - TVD";"Connectique Vidéo null LINEAIRE - TVD - Lacoop.fr";"Connectique Vidéo null LINEAIRE - TVD - Lacoop.fr";;0
admin;base;Findis;simple;"Electromenager::1::1::1/Encastrable::1::1::1/Les eviers::1::1::1/Evier::1::1::1/1,5 cuve::1::1::1";FND-006440;"Evier 1,5 cuve FRANKE - 006440";"Evier 1,5 cuve FRANKE - 006440 | Lacoop.fr";"Achetez Evier 1,5 cuve FRANKE - 006440 à petit prix sur LaCoop.fr. Paiement 3x à partir de 300€.";http://www.findis.fr/data/photos/600/7612981006440_1_600.jpg;"Evier 1,5 cuve FRANKE - 006440 - Lacoop.fr";http://www.findis.fr/data/photos/300/7612981006440_1_300.jpg;http://www.findis.fr/data/photos/150/7612981006440_1_150.jpg;evier-1-5-cuve-franke-006440;evier-1-5-cuve-franke-006440.html;7612981006440;;187.64;;;;131.40;5.74;0.00;Activé;"Catalogue, Recherche";"Taxe Produits";;FRANKE;FINDIS;;;;;;"<h2>Détails produit</h2><p><br>Cuve : 1,5<br>Matière : inox<br>Dimensions : L 100 x P 50 cm</p>";"<p><strong>Evier 1,5 cuve FRANKE - 006440</strong></p><p><br>Voir les détails produit ci-dessous</p>";;;;2;1;1;"Evier 1,5 cuve FRANKE - 006440";"Evier 1,5 cuve FRANKE - 006440 - Lacoop.fr";"Evier 1,5 cuve FRANKE - 006440 - Lacoop.fr";;0
admin;base;Findis;simple;"Image::1::1::1/Tv::1::1::1/Casque et accessoire tv::1::1::1/Télécommande::1::1::1/Universelle::1::1::1";FND-SIMPLY1731;"Télécommande Universelle MBG FRANCE - SIMPLY1731";"Télécommande Universelle MBG FRANCE - SIMPLY1731 | Lacoop.fr";"Achetez Télécommande Universelle MBG FRANCE - SIMPLY1731 à petit prix sur LaCoop.fr. Paiement 3x à partir de 300€.";http://www.findis.fr/data/photos/600/8028626017013_1_600.jpg;"Télécommande Universelle MBG FRANCE - SIMPLY1731 - Lacoop.fr";http://www.findis.fr/data/photos/300/8028626017013_1_300.jpg;http://www.findis.fr/data/photos/150/8028626017013_1_150.jpg;télécommande-universelle-mbg-france-simply1731;télécommande-universelle-mbg-france-simply1731.html;8028626017013;;9.00;;;;6.30;0.00;0.00;Activé;"Catalogue, Recherche";"Taxe Produits";;"MBG FRANCE";FINDIS;;;;;;"<h2>Détails produit</h2><p><br>Fonctions TV : Oui<br>Fonctions Magnétoscope : Non<br>Fonctions DVD : Non<br>Distance infrarouge : 0</p>";"<p><strong>Télécommande Universelle MBG FRANCE - SIMPLY1731</strong></p><p><br>Voir les détails produit ci-dessous</p>";;;;0;0;1;"Télécommande Universelle MBG FRANCE - SIMPLY1731";"Télécommande Universelle MBG FRANCE - SIMPLY1731 - Lacoop.fr";"Télécommande Universelle MBG FRANCE - SIMPLY1731 - Lacoop.fr";;0
admin;base;Findis;simple;"Son  - telephonie::1::1::1/Chaine hifi::1::1::1/Mini -chaîne  - hi -power::1::1::1/Sans cd::1::1::1";FND-XWSX50B;"Mini-chaîne / Hi-power Sans CD PIONEER - XWSX50B";"Mini-chaîne / Hi-power Sans CD PIONEER - XWSX50B | Lacoop.fr";"Achetez Mini-chaîne / Hi-power Sans CD PIONEER - XWSX50B à petit prix sur LaCoop.fr. Paiement 3x à partir de 300€.";http://www.findis.fr/data/photos/600/4573211154139_1_600.jpg;"Mini-chaîne / Hi-power Sans CD PIONEER - XWSX50B - Lacoop.fr";http://www.findis.fr/data/photos/300/4573211154139_1_300.jpg;http://www.findis.fr/data/photos/150/4573211154139_1_150.jpg;mini-chaîne-hi-power-sans-cd-pioneer-xwsx50b;mini-chaîne-hi-power-sans-cd-pioneer-xwsx50b.html;4573211154139;;337.44;;;;234.90;2.05;1.67;Activé;"Catalogue, Recherche";"Taxe Produits";;PIONEER;FINDIS;;;;;;"<h2>Détails produit</h2><p><br>Puissance maxi par canal : 60 W (RMS)<br>Puissance : 120 W (RMS)<br>Lecture MP3 : Oui<br>Port USB : Oui<br>Encodage MP3 : Non<br>Bluetooth intégré : Oui<br>Compatible NFC : Non<br>Compatible aptX® : Non<br>Compatible DLNA : Non<br>Audio Haute Résolution : Non<br>Le + produit : Effets lumineux LED<br>Connectique : Aux in / RCA  (in &amp; out) / USB<br>Dimensions (LxHxP) : 26,2 x 59,2 x 28,1 cm</p>";"<p><strong>Mini-chaîne / Hi-power Sans CD PIONEER - XWSX50B</strong></p><p><br>Voir les détails produit ci-dessous</p>";;;;99;1;1;"Mini-chaîne / Hi-power Sans CD PIONEER - XWSX50B";"Mini-chaîne / Hi-power Sans CD PIONEER - XWSX50B - Lacoop.fr";"Mini-chaîne / Hi-power Sans CD PIONEER - XWSX50B - Lacoop.fr";commande;0
admin;base;Findis;simple;"Entretien de la maison::1::1::1/Courant faible::1::1::1/Vidéosurveillance::1::1::1/Stockeurs::1::1::1/Hdcvi::1::1::1";FND-XVR5108HS;"Stockeurs HDCVI DAHUA - XVR5108HS";"Stockeurs HDCVI DAHUA - XVR5108HS | Lacoop.fr";"Achetez Stockeurs HDCVI DAHUA - XVR5108HS à petit prix sur LaCoop.fr. Paiement 3x à partir de 300€.";http://www.findis.fr/data/photos/600/0814927019966_1_600.jpg;"Stockeurs HDCVI DAHUA - XVR5108HS - Lacoop.fr";http://www.findis.fr/data/photos/300/0814927019966_1_300.jpg;http://www.findis.fr/data/photos/150/0814927019966_1_150.jpg;stockeurs-hdcvi-dahua-xvr5108hs;stockeurs-hdcvi-dahua-xvr5108hs.html;0814927019966;;197.36;;;;138.21;1.09;0.00;Activé;"Catalogue, Recherche";"Taxe Produits";;DAHUA;FINDIS;;;;;;;"<p><strong>Stockeurs HDCVI DAHUA - XVR5108HS</strong></p><p><br>Voir les détails produit ci-dessous</p>";;;;0;0;1;"Stockeurs HDCVI DAHUA - XVR5108HS";"Stockeurs HDCVI DAHUA - XVR5108HS - Lacoop.fr";"Stockeurs HDCVI DAHUA - XVR5108HS - Lacoop.fr";;0
admin;base;Findis;simple;"Petit electromenager::1::1::1/Beauté - hygiène - bien -être::1::1::1/Soin du cheveu::1::1::1/Brosse soufflante::1::1::1";FND-BHH811.00;"Soin du cheveu Brosse soufflante PHILIPS - BHH811.00";"Soin du cheveu Brosse soufflante PHILIPS - BHH811.00 | Lacoop.fr";"Achetez Soin du cheveu Brosse soufflante PHILIPS - BHH811.00 à petit prix sur LaCoop.fr. Paiement 3x à partir de 300€.";http://www.findis.fr/data/photos/600/8710103814436_1_600.jpg;"Soin du cheveu Brosse soufflante PHILIPS - BHH811.00 - Lacoop.fr";http://www.findis.fr/data/photos/300/8710103814436_1_300.jpg;http://www.findis.fr/data/photos/150/8710103814436_1_150.jpg;soin-du-cheveu-brosse-soufflante-philips-bhh811-00;soin-du-cheveu-brosse-soufflante-philips-bhh811-00.html;8710103814436;;34.47;;;;24.07;0.44;0.08;Activé;"Catalogue, Recherche";"Taxe Produits";;PHILIPS;FINDIS;;;;;;"<h2>Détails produit</h2><p><br>Description guide : Brosse multi-styles 10 en 1 - Fer boucleur 25 mm - Fer lisseur 80 mm - Technologie OneClick - Pointe froide - Cordon rotatif - Anneau de suspension.<br>Température maxi : 210 °C<br>Temps de chauffe : 1 min<br>Dimensions des plaques : 30 x 80 mm<br>Anneau de suspension : Oui<br>Accessoires : boucleur/lisseur/2 élastiques/Hair loop<br>Le + produit : Guide de coiffures inclus</p>";"<p><strong>Soin du cheveu Brosse soufflante PHILIPS - BHH811.00</strong></p><p><br>Voir les détails produit ci-dessous</p>";;;;13;1;1;"Soin du cheveu Brosse soufflante PHILIPS - BHH811.00";"Soin du cheveu Brosse soufflante PHILIPS - BHH811.00 - Lacoop.fr";"Soin du cheveu Brosse soufflante PHILIPS - BHH811.00 - Lacoop.fr";;0
admin;base;Findis;simple;"Petit electromenager::1::1::1/Cuisson et culinaire::1::1::1/Friteuse::1::1::1/Capacité de 1,3 kg et +::1::1::1";FND-AH950000;"Friteuse Capacité de 1,3 Kg et + SEB - AH950000";"Friteuse Capacité de 1,3 Kg et + SEB - AH950000 | Lacoop.fr";"Achetez Friteuse Capacité de 1,3 Kg et + SEB - AH950000 à petit prix sur LaCoop.fr. Paiement 3x à partir de 300€.";http://www.findis.fr/data/photos/600/3045386365005_1_600.jpg;"Friteuse Capacité de 1,3 Kg et + SEB - AH950000 - Lacoop.fr";http://www.findis.fr/data/photos/300/3045386365005_1_300.jpg;http://www.findis.fr/data/photos/150/3045386365005_1_150.jpg;friteuse-capacité-de-1-3-kg-et-+-seb-ah950000;friteuse-capacité-de-1-3-kg-et-+-seb-ah950000.html;3045386365005;;194.29;;;;135.85;2.21;0.25;Activé;"Catalogue, Recherche";"Taxe Produits";;SEB;FINDIS;;;;;;"<h2>Détails produit</h2><p><br>Description guide : Actifry Express XL - Minuteur - Arrêt automatique - Odeurs limitées - Ecran LCD - Timer - Parois froides - Cordon amovible<br>Puissance : 1550 Watts<br>Capacité frites : 1.5 Kg<br>Système de filtration des odeurs : filtre métallique permanent<br>Minuteur : Timer avec arrêt automatique<br>Hublot de contrôle : Oui<br>Cuve amovible : Oui<br>Parois froides : Oui<br>Capacité huile : 1 cuillère à huile (2 cl)<br>Lieu de fabrication : France<br>Le + produit : 30% plus rapide<br>Dimensions (LxHxP) : 50 x 26 x 35 cm<br>Poids net : 4.8 Kg</p>";"<p><strong>Friteuse Capacité de 1,3 Kg et + SEB - AH950000</strong></p><p><br>Voir les détails produit ci-dessous</p>";;;;0;0;1;"Friteuse Capacité de 1,3 Kg et + SEB - AH950000";"Friteuse Capacité de 1,3 Kg et + SEB - AH950000 - Lacoop.fr";"Friteuse Capacité de 1,3 Kg et + SEB - AH950000 - Lacoop.fr";;0
